id,title,course_id,created_at
568fc0e8ec4a8987d9000050,logo,course-v1:UTPL+TC+2015,
56901c78ec4a89a0b3000041,Modulo 1,course-v1:UTPL+EDA+2015,
56901ed5ec4a89c4b000004b,Modulo 2-Principios Fundamentales,course-v1:UTPL+EDA+2015,
569036aaec4a891e53000043,Presentacion del curso,course-v1:UTPL+EDA+2015,
56903ee4ec4a89a0b3000044,Principios Fundamentales,course-v1:UTPL+EDA+2015,
5690445bec4a89c4b000004d,Subiendo imágenes al foro,course-v1:UTPL+EDA+2015,
56904711ec4a8987d9000052,Presentaciones Graficas,course-v1:UTPL+EDA+2015,
56919625ec4a89c4b0000050,Una pregunta,course-v1:UTPL+EDA+2015,
56919681ec4a89c4b0000052,Inquietud con los videos,course-v1:UTPL+EDA+2015,
5691968dec4a8987d9000055,ConocerR,course-v1:UTPL+EDA+2015,
5691977fec4a8987d9000057,Primeros Ejercicios,course-v1:UTPL+EDA+2015,
5691b511ec4a8987d9000059,consulta,course-v1:UTPL+EDA+2015,
5691cce5ec4a89a0b3000047,Importancia del curso,course-v1:UTPL+EDA+2015,
5691ce81ec4a89a0b3000049,Principios fundamentales,course-v1:UTPL+EDA+2015,
5691e227ec4a8987d900005b,Opinión del vídeo y en que me ha ayudó.,course-v1:UTPL+EDA+2015,
5691e56eec4a89c4b0000054,Módulo 1,course-v1:UTPL+EDA+2015,
5691ea0fec4a891e53000046,La importancia de aplicar estos principios.,course-v1:UTPL+EDA+2015,
5691fb04ec4a89a0b300004b,Importancia del curso,course-v1:UTPL+EDA+2015,
56920727ec4a89c4b0000056,6 Principios importantes,course-v1:UTPL+EDA+2015,
56921021ec4a891e53000048,Galería de representaciones gráficas,course-v1:UTPL+EDA+2015,
5692721aec4a8987d900005e,Galeria,course-v1:UTPL+EDA+2015,
5692731fec4a8987d9000060,Presentaciòn de Graficas / Galeria,course-v1:UTPL+EDA+2015,
56927e4aec4a891e5300004b,Modulo 4,course-v1:UTPL+EDA+2015,
56927e84ec4a891e5300004d,Modulo 4 / Programa R ,course-v1:UTPL+EDA+2015,
56927f17ec4a8987d9000062,PROGRAMACIÓN OPTIMA RStudio/RProject,course-v1:UTPL+EDA+2015,
5692aae6ec4a89c4b0000059,Modulo 1,course-v1:UTPL+EDA+2015,
5692ab72ec4a8987d9000064,ERROR EN INSTALACIÓN WINDOWS 8.1,course-v1:UTPL+EDA+2015,
5692b8f8ec4a8987d9000065,Modulo 1 ,course-v1:UTPL+EDA+2015,
5692d5b9ec4a89c4b000005c,Importante,course-v1:UTPL+EDA+2015,
569311b9ec4a8987d900006a,¿Por qué este curso?,course-v1:UTPL+EDA+2015,
5693226dec4a8987d900006c,Modulo 4,course-v1:UTPL+EDA+2015,
569332deec4a89c4b000005e,6 Principios fundamentales,course-v1:UTPL+EDA+2015,
56933434ec4a89c4b0000060,No hay vídeos para realizar los test,course-v1:UTPL+EDA+2015,
569338adec4a891e53000054,Foro modulo 3,course-v1:UTPL+EDA+2015,
56934044ec4a89c4b0000062,Galeria,course-v1:UTPL+EDA+2015,
56934615ec4a89a0b300004f,modulo 4 foro,course-v1:UTPL+EDA+2015,
5693f73dec4a89c4b0000065,Tipos de gráficas,course-v1:UTPL+EDA+2015,
5693faadec4a89c4b0000067,Foro 2. Principios Fundamentales,course-v1:UTPL+EDA+2015,
56940ed7ec4a89c4b0000069,Importancia de Análisis Exploratorio de Datos,course-v1:UTPL+EDA+2015,
56940f3fec4a89a0b3000052,Foro 3. Galeria ,course-v1:UTPL+EDA+2015,
56941557ec4a89a0b3000054,Modulo 3,course-v1:UTPL+EDA+2015,
569415edec4a891e53000057,Modulo 4,course-v1:UTPL+EDA+2015,
56941d23ec4a8987d900006e,Importancia - Analisis  expliratorio de datos,course-v1:UTPL+EDA+2015,
56942dbfec4a8987d9000070,Importancia de Análisis Exploratorio de Datos,course-v1:UTPL+EDA+2015,
56942e25ec4a8987d9000072,Modulo:2 Principios Fundamentales,course-v1:UTPL+EDA+2015,
56942e8dec4a89a0b3000058,Principios fundamentales,course-v1:UTPL+EDA+2015,
569431f4ec4a89c4b000006b,Modulo 3: De visita a la galeria,course-v1:UTPL+EDA+2015,
569435f9ec4a89a0b300005a,De visita a la galeria,course-v1:UTPL+EDA+2015,
56943676ec4a8987d9000073,Principios fundamentales,course-v1:UTPL+EDA+2015,
56945443ec4a89c4b000006d,Variedad de gráficas,course-v1:UTPL+EDA+2015,
569466beec4a891e5300005a,FORO#2,course-v1:UTPL+EDA+2015,
56947838ec4a891e5300005c,Visita a la galería,course-v1:UTPL+EDA+2015,
569481ddec4a89a0b300005c,Modulo 5,course-v1:UTPL+EDA+2015,
56948a24ec4a891e5300005e,Modulo 6,course-v1:UTPL+EDA+2015,
56949ffaec4a8987d9000075,R y Rstudio,course-v1:UTPL+EDA+2015,
56955521ec4a891e53000062,Consulta,course-v1:UTPL+EDA+2015,
56958bf7ec4a891e53000065,¿?,course-v1:UTPL+EDA+2015,
5695a760ec4a89c4b0000074,Modulo 1,course-v1:UTPL+EDA+2015,
5695bf5dec4a8987d900007a,Principios Fundamentales,course-v1:UTPL+EDA+2015,
5695dd75ec4a89a0b3000060,principios fundamentales ,course-v1:UTPL+EDA+2015,
56967a84ec4a891e53000068,Ventajas,course-v1:UTPL+EDA+2015,
56967c87ec4a8987d900007d,Modulo 5,course-v1:UTPL+EDA+2015,
56967ee4ec4a89c4b0000077,Modulo 6,course-v1:UTPL+EDA+2015,
5696dcc9ec4a891e5300006a,"Importancia del curso ""Análisis Exploratorio de Datos""",course-v1:UTPL+EDA+2015,
5697008cec4a891e5300006c,Principios Fundamentales,course-v1:UTPL+EDA+2015,
56971e36ec4a89c4b000007a,Importancia de Análisis Exploratorio de Datos,course-v1:UTPL+EDA+2015,
56971f14ec4a891e5300006e,Tipos de Gráficas,course-v1:UTPL+EDA+2015,
569720aeec4a891e5300006f,Importancia de Análisis Exploratorio de Datos,course-v1:UTPL+EDA+2015,
56973b98ec4a891e53000071,modulo 7,course-v1:UTPL+EDA+2015,
56980808ec4a8987d9000081,¿Por qué este curso?,course-v1:UTPL+EDA+2015,
56981076ec4a89a0b3000067,Principios para guiar un análisis de datos exploratorio,course-v1:UTPL+EDA+2015,
569822e0ec4a89a0b3000069,Visita a la galería,course-v1:UTPL+EDA+2015,
56982f01ec4a89c4b000007c,¿Por qué R y RStudio?,course-v1:UTPL+EDA+2015,
56984e0bec4a891e53000074,Graficando ,course-v1:UTPL+EDA+2015,
56987d23ec4a891e53000075,Por que R y R Studio ,course-v1:UTPL+EDA+2015,
5699aab8ec4a8987d9000084,R y RStudio,course-v1:UTPL+EDA+2015,
5699b4acec4a8987d9000085,Modulo 1,course-v1:UTPL+EDA+2015,
5699c6d8ec4a89a0b300006b,modulo 2 foro,course-v1:UTPL+EDA+2015,
569a5c75ec4a891e53000077,Gráfica de dos variables,course-v1:UTPL+EDA+2015,
569a68ecec4a89c4b0000081,Presentación propia obra,course-v1:UTPL+EDA+2015,
569ac4daec4a8987d9000086,problemas,course-v1:UTPL+EDA+2015,
569b13ceec4a8987d9000088,Modulo 2,course-v1:UTPL+EDA+2015,
569b22c3ec4a89c4b0000084, Principios fundamentales ,course-v1:UTPL+EDA+2015,
569b29d6ec4a891e5300007b,galería ,course-v1:UTPL+EDA+2015,
569b2f7eec4a89c4b0000087,Principios de Visualización de Datos.,course-v1:UTPL+EDA+2015,
569b387fec4a8987d900008a,Foro modulo 5 ,course-v1:UTPL+EDA+2015,
569b3b6fec4a891e5300007d,Foro módulo 6,course-v1:UTPL+EDA+2015,
569b4c67ec4a89a0b300006f,"Importancia del Curso ""Análisis Exploratorio de Datos""",course-v1:UTPL+EDA+2015,
569b54cdec4a89c4b000008a,Principios Fundamentales,course-v1:UTPL+EDA+2015,
569bc568ec4a89c4b000008c,Principios Fundamentales,course-v1:UTPL+EDA+2015,
569bca16ec4a89c4b000008e,Criterio-Módulo 3,course-v1:UTPL+EDA+2015,
569c157cec4a89c4b0000091,Galería,course-v1:UTPL+EDA+2015,
569c2415ec4a89a0b3000071,¿Se ha registrado pero sale inscripcion cerrada?,course-v1:UTPL+EDA+2015,
569c2865ec4a89a0b3000073,R,course-v1:UTPL+EDA+2015,
569c2b0fec4a89c4b0000093,Foro#3,course-v1:UTPL+EDA+2015,
569c4526ec4a891e5300007e,Principios Fundamentales,course-v1:UTPL+EDA+2015,
569c6776ec4a8987d900008f,Modulo 3,course-v1:UTPL+EDA+2015,
569c8d91ec4a8987d9000091,Vista a la Galería,course-v1:UTPL+EDA+2015,
569cbe62ec4a89c4b0000095,Importancia del Curso,course-v1:UTPL+EDA+2015,
569cbfc3ec4a8987d9000093,Principios Visualización,course-v1:UTPL+EDA+2015,
569cc0d5ec4a891e53000081,Galeria,course-v1:UTPL+EDA+2015,
569cf14aec4a8987d9000095,Fechas,course-v1:UTPL+EDA+2015,
569d1d11ec4a89c4b0000096,De visita a la galería,course-v1:UTPL+EDA+2015,
569d3694ec4a89a0b3000076,Diseño de graficas,course-v1:UTPL+EDA+2015,
569d5430ec4a891e53000083,Principios Fundamentales,course-v1:UTPL+EDA+2015,
569d55afec4a89a0b3000078,Galeria,course-v1:UTPL+EDA+2015,
569d5771ec4a89a0b3000079,R y RStudio,course-v1:UTPL+EDA+2015,
569d5e69ec4a891e53000084,MÓDULO 5,course-v1:UTPL+EDA+2015,
569d5ecbec4a891e53000085,no se subió mi imagen ,course-v1:UTPL+EDA+2015,
569d5f53ec4a8987d9000099,R ESTUDIO,course-v1:UTPL+EDA+2015,
569d63a9ec4a89c4b0000099,Como realizamos las graficas?,course-v1:UTPL+EDA+2015,
569e3c5eec4a89a0b300007d,Un principio importante de visualización de datos,course-v1:UTPL+EDA+2015,
569e4089ec4a89c4b000009b,Galeria,course-v1:UTPL+EDA+2015,
569e48a6ec4a8987d900009e,R-Studio,course-v1:UTPL+EDA+2015,
569e523fec4a891e5300008a,Modulo 5,course-v1:UTPL+EDA+2015,
569e9faaec4a89c4b000009c,Modulo 5,course-v1:UTPL+EDA+2015,
569ea120ec4a891e5300008c,TestCompletos,course-v1:UTPL+EDA+2015,
569eab5eec4a8987d900009f,Vista de galeria,course-v1:UTPL+EDA+2015,
569eac69ec4a8987d90000a1,R. studio,course-v1:UTPL+EDA+2015,
569eaf27ec4a8987d90000a2,Grafica con variable,course-v1:UTPL+EDA+2015,
569f0580ec4a89c4b000009f,R y Rstudio,course-v1:UTPL+EDA+2015,
569f0c03ec4a89c4b00000a1,Una Duda,course-v1:UTPL+EDA+2015,
569f42fbec4a89c4b00000a3,Grafica,course-v1:UTPL+EDA+2015,
569f9470ec4a89c4b00000a5,¿Una contraseña para descargar ConoceR?,course-v1:UTPL+EDA+2015,
569fbcb0ec4a891e5300008e,Opinion,course-v1:UTPL+EDA+2015,
569fc257ec4a89a0b3000084,R y Rstudio,course-v1:UTPL+EDA+2015,
569fc512ec4a8987d90000a4,R y R estudio,course-v1:UTPL+EDA+2015,
569fc6baec4a89c4b00000a8,GRAFICA,course-v1:UTPL+EDA+2015,
569fc81fec4a8987d90000a5,ConoceR,course-v1:UTPL+EDA+2015,
569fc87bec4a89c4b00000aa,Graficando por fin!,course-v1:UTPL+EDA+2015,
56a00484ec4a891e53000092,Foro 3. Galería,course-v1:UTPL+EDA+2015,
56a00f1cec4a891e53000093,Modulo  4 Opinion ,course-v1:UTPL+EDA+2015,
56a01509ec4a89a0b3000086,Modulo 5 Opinion ,course-v1:UTPL+EDA+2015,
56a0157cec4a891e53000095,Modulo 6 Opinion ,course-v1:UTPL+EDA+2015,
56a01a0bec4a89a0b3000088,Módulo 4 ConoceR,course-v1:UTPL+EDA+2015,
56a01ae0ec4a891e53000097,Modulo 5 Graficando,course-v1:UTPL+EDA+2015,
56a01d9cec4a8987d90000a6,Galeria,course-v1:UTPL+EDA+2015,
56a01f42ec4a891e53000099,Principios fundamentales,course-v1:UTPL+EDA+2015,
56a02686ec4a8987d90000a8,ConoceR,course-v1:UTPL+EDA+2015,
56a02af0ec4a89c4b00000ad,De visita a la galería,course-v1:UTPL+EDA+2015,
56a04376ec4a89a0b300008a,¿Por qué R y RStudio?,course-v1:UTPL+EDA+2015,
56a050eeec4a89a0b300008c,Graficando con 2 variables,course-v1:UTPL+EDA+2015,
56a05327ec4a891e5300009c,Módulo 3,course-v1:UTPL+EDA+2015,
56a0552fec4a8987d90000ac,Módulo 5,course-v1:UTPL+EDA+2015,
56a06c33ec4a8987d90000ae,Swirl,course-v1:UTPL+EDA+2015,
56a0e7f7ec4a891e5300009f,Graficando,course-v1:UTPL+EDA+2015,
