subject,predicate,object
http://example.org/tic-absa/comment/57297283ec4a89942000010f,absa:hasAspect,http://example.org/tic-absa/aspect/docente
http://example.org/tic-absa/comment/5729e496ec4a899420000118,absa:hasAspect,http://example.org/tic-absa/aspect/interaccion
http://example.org/tic-absa/comment/5729e6b0ec4a899420000119,absa:hasAspect,http://example.org/tic-absa/aspect/interaccion
http://example.org/tic-absa/comment/572a15e8ec4a891e170000cd,absa:hasAspect,http://example.org/tic-absa/aspect/docente
http://example.org/tic-absa/comment/572a15e8ec4a891e170000cd,absa:hasAspect,http://example.org/tic-absa/aspect/interaccion
http://example.org/tic-absa/comment/572a253aec4a89942000011e,absa:hasAspect,http://example.org/tic-absa/aspect/interaccion
http://example.org/tic-absa/comment/572a269cec4a89942000011f,absa:hasAspect,http://example.org/tic-absa/aspect/plataforma
http://example.org/tic-absa/comment/572a3212ec4a899420000123,absa:hasAspect,http://example.org/tic-absa/aspect/docente
http://example.org/tic-absa/comment/572a42a7ec4a891a75000114,absa:hasAspect,http://example.org/tic-absa/aspect/interaccion
http://example.org/tic-absa/comment/572a443cec4a891e170000cf,absa:hasAspect,http://example.org/tic-absa/aspect/interaccion
http://example.org/tic-absa/comment/572b33dcec4a891a75000117,absa:hasAspect,http://example.org/tic-absa/aspect/interaccion
http://example.org/tic-absa/comment/572b6a98ec4a899420000141,absa:hasAspect,http://example.org/tic-absa/aspect/contenido
http://example.org/tic-absa/comment/572b6cbeec4a891e170000dd,absa:hasAspect,http://example.org/tic-absa/aspect/contenido
http://example.org/tic-absa/comment/572b6cbeec4a891e170000dd,absa:hasAspect,http://example.org/tic-absa/aspect/interaccion
http://example.org/tic-absa/comment/572b6d43ec4a891a7500011f,absa:hasAspect,http://example.org/tic-absa/aspect/contenido
http://example.org/tic-absa/comment/572b6dd9ec4a891e170000de,absa:hasAspect,http://example.org/tic-absa/aspect/docente
http://example.org/tic-absa/comment/572b7592ec4a891e170000e1,absa:hasAspect,http://example.org/tic-absa/aspect/contenido
http://example.org/tic-absa/comment/572bb1baec4a891a75000122,absa:hasAspect,http://example.org/tic-absa/aspect/docente
