from,prop,to
http://example.org/tic-absa/comment/5e945b42ec4a898059000875,skos:broader,http://example.org/tic-absa/thread/5e914603ec4a89e7c600001a
http://example.org/tic-absa/comment/5e945b66ec4a89aaf30008d9,skos:broader,http://example.org/tic-absa/thread/5e914603ec4a89e7c600001a
http://example.org/tic-absa/comment/5e945bb7ec4a89aaf30008ea,skos:broader,http://example.org/tic-absa/thread/5e9144d3ec4a89e7c6000017
http://example.org/tic-absa/comment/5e945bd8ec4a89805900088f,skos:broader,http://example.org/tic-absa/thread/5e9144d3ec4a89e7c6000017
http://example.org/tic-absa/comment/5e945c60ec4a89789c0008ce,skos:broader,http://example.org/tic-absa/thread/5e9144d3ec4a89e7c6000017
http://example.org/tic-absa/comment/5e945d12ec4a89e82d0008f7,skos:broader,http://example.org/tic-absa/thread/5e9144d3ec4a89e7c6000017
http://example.org/tic-absa/comment/5e945d2aec4a89aaf3000922,skos:broader,http://example.org/tic-absa/thread/5e945a2dec4a89805900084b
http://example.org/tic-absa/comment/5e945d7fec4a89aaf3000935,skos:broader,http://example.org/tic-absa/thread/5e9144d3ec4a89e7c6000017
http://example.org/tic-absa/comment/5e945d8aec4a8980590008d8,skos:broader,http://example.org/tic-absa/thread/5e9144d3ec4a89e7c6000017
http://example.org/tic-absa/comment/5e945dc9ec4a89e82d00090d,skos:broader,http://example.org/tic-absa/thread/5e9144d3ec4a89e7c6000017
http://example.org/tic-absa/comment/5e945dd4ec4a89e82d00090e,skos:broader,http://example.org/tic-absa/thread/5e9144d3ec4a89e7c6000017
http://example.org/tic-absa/comment/5e945dd4ec4a89e82d00090e,skos:related,http://example.org/tic-absa/comment/5e943b80ec4a898059000378
http://example.org/tic-absa/comment/5e945dd7ec4a8980590008e0,skos:broader,http://example.org/tic-absa/thread/5e9144d3ec4a89e7c6000017
http://example.org/tic-absa/comment/5e945dd7ec4a8980590008e0,skos:related,http://example.org/tic-absa/comment/5e943b80ec4a898059000378
